timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1769230159.883926,LEFT,0,40,39,0,10,57,61,39,36,30,33,17
1769230166.9150708,IDLE,0,0,0,0,35,74,22,35,53,21,30,25
1769230173.9416926,LEFT,0,57,36,0,34,59,17,39,31,39,23,41
1769230180.9728143,CLICK,0,0,0,0,33,67,6,47,28,21,40,25
1769230187.9996037,UP,0,58,35,0,29,45,21,40,48,52,23,33
1769230195.027478,DOWN,0,0,0,0,20,39,43,27,30,34,38,19
1769230202.0544176,DOWN,0,44,46,0,11,50,40,36,50,25,30,29
1769230209.0805917,DOWN,0,41,42,0,33,39,72,12,51,30,35,37
1769230216.1090262,LEFT,0,73,26,0,14,27,24,23,60,34,25,40
1769230223.137522,LEFT,0,0,0,0,6,59,69,19,40,39,44,34
1769230230.1647527,CLICK,0,0,0,0,18,31,19,19,42,33,30,36
1769230237.193673,DOWN,0,0,0,0,19,26,49,34,58,37,44,38
1769230244.222178,LEFT,0,0,0,0,30,60,57,18,36,40,36,37
1769230251.2482345,RIGHT,0,0,0,0,16,13,47,80,28,29,30,31
1769230258.275709,LEFT,0,0,0,0,35,50,36,39,52,37,39,30
1769230265.3021162,LEFT,0,0,0,0,20,49,22,24,36,57,28,41
1769230272.3312168,CLICK,0,53,40,0,23,38,33,20,46,36,31,32
1769230279.3580112,DOWN,0,44,36,0,12,54,64,42,50,20,26,34
1769230286.3832698,DOWN,0,47,39,0,34,24,47,25,28,40,50,35
1769230293.4098024,RIGHT,0,45,51,0,9,50,9,63,38,40,34,32
1769230300.4364324,DOWN,0,66,23,0,30,42,24,33,54,37,33,25
1769230307.4637632,DOWN,0,0,0,0,36,21,44,39,61,35,39,31
1769230314.4934468,IDLE,4,0,0,0,37,62,45,9,40,26,29,32
1769230321.5252707,UP,0,61,27,0,8,18,25,35,58,37,41,35
1769230328.5531917,CLICK,5,0,0,0,16,77,3,27,43,34,25,38
1769230335.5806086,DOWN,0,41,45,0,20,62,52,33,38,47,18,21
1769230342.6085293,LEFT,0,0,0,0,51,50,56,34,21,32,28,34
1769230349.6359134,UP,0,0,0,0,6,46,49,20,26,32,35,38
1769230356.6630757,CLICK,0,0,0,0,28,56,38,35,46,29,28,38
1769230363.6919818,DOWN,3,0,0,0,28,56,38,35,46,29,28,38
1769230370.7228053,UP,0,0,0,0,28,25,52,51,39,18,38,35
1769230377.7521918,IDLE,0,0,0,0,33,36,11,41,31,44,34,37
1769230384.7791946,IDLE,2,0,0,0,45,30,40,48,30,24,45,44
1769230391.8073125,UP,0,53,26,0,39,94,49,23,32,41,39,33
1769230398.8353188,DOWN,0,0,0,0,41,10,52,27,36,31,36,26
1769230405.8617678,RIGHT,0,0,0,0,30,23,61,42,18,38,39,32
1769230412.892582,RIGHT,0,0,0,0,11,50,29,42,40,31,12,24
1769230419.919498,IDLE,0,0,0,0,28,78,11,21,29,25,37,20
1769230426.946196,RIGHT,0,50,39,0,20,33,47,41,41,41,31,37
1769230433.9734628,CLICK,0,0,0,0,13,47,25,21,23,28,28,38
1769230441.001728,DOWN,0,41,43,0,11,85,59,40,32,30,23,25
1769230448.0312185,CLICK,2,0,0,0,6,52,56,28,57,34,22,29
1769230476.5774045,IDLE,0,0,0,0,50,69,42,20,35,25,36,26
1769230483.6021652,LEFT,0,62,33,0,15,41,35,15,26,23,38,29
1769230490.630935,CLICK,0,51,39,0,26,97,32,28,23,41,45,22
1769230497.6589212,RIGHT,0,42,42,0,31,57,63,45,42,44,18,34
1769230504.6842318,IDLE,0,0,0,0,16,39,60,58,34,28,31,27
1769230513.214364,CLICK,4,0,0,0,57,59,13,23,64,18,22,23
1769230522.2431774,IDLE,0,41,55,0,12,46,37,70,81,39,44,36
1769230529.2688894,DOWN,0,44,39,0,12,52,48,9,51,35,41,21
1769230536.2967348,IDLE,0,47,42,0,26,42,43,42,48,22,42,23
1769230543.3268006,IDLE,0,46,52,0,5,46,24,57,31,32,21,29
1769230550.3551319,DOWN,0,37,54,0,17,47,59,9,41,45,32,32
1769230557.3846142,RIGHT,0,43,36,0,5,49,45,58,34,30,35,31
1769230564.4131122,RIGHT,0,0,0,0,20,45,45,10,46,36,26,17
1769230571.4447882,CLICK,76,0,0,0,47,43,34,39,48,43,22,29
1769230578.4704332,IDLE,23,0,0,0,14,23,40,45,57,36,33,25
1769230585.496413,RIGHT,0,0,0,0,14,23,40,45,57,36,33,25
1769230592.5269969,LEFT,0,45,47,0,26,32,52,23,37,28,36,24
1769230599.554007,DOWN,0,0,0,0,14,51,33,35,64,34,31,52
1769230606.5808375,DOWN,0,0,0,0,24,65,50,26,46,41,15,23
1769230613.6072679,DOWN,0,48,38,0,36,18,38,37,48,38,24,28
1769230620.6358764,RIGHT,0,0,0,0,25,38,28,30,26,41,34,34
1769230627.663469,CLICK,8,0,0,0,37,49,56,33,35,27,16,33
1769230634.6907954,LEFT,0,0,0,0,20,34,43,21,39,46,43,29
1769230641.7192876,UP,0,0,0,0,20,34,43,21,39,46,43,29
1769230648.760175,CLICK,0,0,0,0,27,52,51,45,32,31,32,29
1769230655.8294806,RIGHT,0,0,0,0,20,62,25,39,27,50,23,32
1769230662.8569775,RIGHT,0,0,0,0,37,50,79,49,60,33,34,19
1769230669.8848407,CLICK,0,0,0,0,11,36,58,43,55,27,35,26
1769230676.9156115,RIGHT,0,0,0,0,31,53,46,27,34,41,41,31
1769230683.9431915,CLICK,0,0,0,0,23,36,35,31,45,25,30,28
1769230690.9716828,CLICK,0,48,34,0,30,58,34,26,19,36,33,24
1769230698.0032072,CLICK,0,45,46,0,8,38,44,31,45,43,22,38
1769230705.0280092,LEFT,0,0,0,0,16,34,42,12,54,31,29,36
1769230712.0569441,DOWN,0,0,0,0,5,33,85,16,44,26,26,25
1769230719.082061,DOWN,0,0,0,0,62,23,40,26,36,23,43,33
1769230726.112996,RIGHT,16,0,0,0,29,45,20,32,43,35,33,23
1769230733.142681,CLICK,10,0,0,0,29,45,20,32,43,35,33,23
1769230740.17241,CLICK,37,0,0,0,29,45,20,32,43,35,33,23
1769230747.1983807,RIGHT,0,0,0,0,29,45,20,32,43,35,33,23
1769230754.225157,DOWN,0,0,0,0,34,79,30,35,48,13,36,22
1769230761.2531517,CLICK,80,0,0,0,42,18,43,33,36,29,33,45
1769230768.2819066,LEFT,0,0,0,0,42,18,43,33,36,29,33,45
1769230775.3093474,CLICK,42,0,0,0,27,44,33,35,40,26,32,28
1769230782.3367922,LEFT,0,0,0,0,10,32,50,33,49,43,36,28
1769230789.3635337,UP,0,0,0,0,44,39,61,28,39,38,41,36
1769230796.3900437,RIGHT,0,0,0,0,51,32,29,24,47,32,21,29
1769230803.4210515,DOWN,115,0,0,0,42,68,49,39,54,24,35,26
1769230882.0069282,DOWN,0,0,0,0,13,78,6,23,38,41,21,31
1769230889.0344653,DOWN,0,47,45,0,11,16,52,52,25,45,27,33
1769230896.0627673,LEFT,0,0,0,0,36,44,40,28,37,41,32,38
1769230903.0889974,DOWN,12,0,0,0,16,87,22,20,56,20,36,21
1769230910.1157968,LEFT,0,47,36,0,32,52,28,47,60,26,36,44
1769230917.1464727,IDLE,0,0,0,0,28,84,31,25,40,47,33,20
1769230924.17301,IDLE,0,0,0,0,33,37,12,11,47,34,35,21
1769230931.2025106,UP,0,54,47,0,36,32,44,10,36,44,28,38
1769230938.2301042,UP,0,46,44,0,5,48,33,56,51,19,20,37
1769230945.2588286,DOWN,0,0,0,0,17,47,57,24,44,32,21,24
1769230952.2877889,CLICK,1,0,0,0,11,32,22,27,27,45,26,32
1769230959.3148947,CLICK,0,63,38,0,10,38,13,40,33,44,30,29
1769230966.3433425,UP,0,50,46,0,24,48,55,11,52,32,32,37
1769230973.36785,RIGHT,0,0,0,0,42,64,31,25,35,39,24,40
1769230980.3973722,RIGHT,0,0,0,0,29,38,50,39,39,46,37,24
1769230987.4289103,IDLE,0,0,0,0,22,59,49,30,38,47,25,23
1769230994.458232,IDLE,0,47,42,0,28,81,33,37,41,43,39,41
1769231001.484007,UP,0,71,43,0,6,31,15,14,38,30,41,30
1769231008.5151455,IDLE,0,0,0,0,21,27,52,45,44,58,34,21
1769231015.5446754,RIGHT,0,0,0,0,46,43,46,49,53,33,30,38
1769231022.573052,UP,1,0,0,0,13,21,20,29,54,41,26,36
1769231029.6008372,IDLE,0,0,0,0,13,21,20,29,54,41,26,36
1769231036.6308465,IDLE,0,0,0,0,73,20,31,14,23,29,25,33
1769231043.6591346,IDLE,0,56,39,0,77,53,30,20,42,40,26,29
1769231050.6883707,CLICK,0,47,53,0,40,23,22,53,42,41,40,27
1769231057.7143564,CLICK,0,76,22,0,21,43,20,20,29,24,27,33
1769231064.7437391,LEFT,0,46,49,0,50,30,35,35,44,31,40,35
1769231071.7694724,DOWN,0,0,0,0,21,50,46,14,33,32,27,36
1769231078.7968247,CLICK,0,55,28,0,81,20,58,28,60,42,24,40
1769231085.828108,IDLE,1,0,0,0,50,80,14,28,43,37,26,35
1769231092.8587322,DOWN,0,0,0,0,34,41,16,47,33,37,28,30
1769231099.8860736,CLICK,0,0,0,0,30,54,35,28,41,29,23,37
1769231106.915406,IDLE,0,53,37,0,27,58,41,23,25,21,35,27
1769231113.9477305,IDLE,0,0,0,0,12,40,43,32,41,43,36,21
1769231120.976908,RIGHT,0,0,0,0,14,42,60,50,29,44,22,43
1769231128.0046306,DOWN,0,0,0,0,23,73,30,28,38,52,35,21
1769231135.0311298,CLICK,16,0,0,0,54,34,28,28,50,25,25,27
1769231142.0581968,CLICK,0,0,0,0,52,65,22,27,25,28,29,26
1769231149.0860372,IDLE,0,0,0,0,15,70,28,30,29,27,42,37
1769231156.113836,UP,0,0,0,0,27,39,26,35,43,48,31,29
